           RA_1          DEC_1      r_k20fe_1      h_m_k20fe         k_ba_1         k_pa_1     distance_1         Separation_1             RA            DEC     distance_2          H_mag
              E              E              E              E              E              E              E                    D              E              E              E              E
                                                                                                                        arcsec                                                            
   5.462118E+01  -3.545074E+01   1.136000E+02   6.697000E+00   1.000000E+00  -3.000000E+01   1.690000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.462412E+01  -2.302769E+01   9.370000E+01   7.284000E+00   8.200000E-01  -8.750000E+01   2.000000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.471632E+01  -3.559439E+01   8.280000E+01   7.164000E+00   9.000000E-01  -1.750000E+01   1.690000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.471721E+01  -2.633784E+01   1.132000E+02   6.958000E+00   9.200000E-01  -8.750000E+01   1.610000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.504960E+01  -1.858038E+01   1.002000E+02   7.128000E+00   9.500000E-01   6.000000E+01   2.160000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.529394E+01  -1.302810E+00   3.050000E+01   1.018200E+01   7.200000E-01  -5.000000E+01   1.017500E+02   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.550647E+01  -4.722208E+01   1.226000E+02   7.505000E+00   6.100000E-01  -8.500000E+01   1.160000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.554806E+01  -2.989351E+01   7.390000E+01   8.792000E+00   5.400000E-01  -5.350000E+01   1.740000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.559560E+01  -3.515353E+01   2.690000E+01   1.031900E+01   7.000000E-01  -7.950000E+01   1.690000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.562212E+01  -1.348817E+01   9.650000E+01   8.876000E+00   2.200000E-01   2.500000E+00   2.550000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.613298E+01  -4.464483E+01   1.171000E+02   8.079000E+00   2.000000E-01   4.350000E+01   1.290000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.670214E+01   6.809611E+01   3.720000E+02   5.281000E+00   7.800000E-01  -2.750000E+01   3.900000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.708638E+01   7.013288E+01   1.143000E+02   7.714000E+00   4.300000E-01  -7.500000E+01   2.030000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.745602E+01  -7.163538E+01   3.350000E+01   1.106900E+01   8.240000E-01   8.550000E+01   1.630000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.866220E+01  -2.050245E+01   4.290000E+01   9.014000E+00   5.800000E-01  -7.450000E+01   1.960000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   5.942678E+01  -4.890847E+01   4.200000E+01   1.065500E+01   7.700000E-01  -2.100000E+01   1.220000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   6.070106E+01   1.965730E+00   7.470000E+01   9.371000E+00   2.400000E-01   3.000000E+01   4.358300E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   6.097617E+01  -4.334885E+01   1.012000E+02   7.962000E+00   4.700000E-01   4.500000E+01   9.500000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   6.101133E+01  -5.410006E+01   1.043000E+02   8.184000E+00   4.000000E-01   1.300000E+01   1.340000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   6.111308E+01  -2.189170E+00   5.900000E+01   1.024200E+01   2.800000E-01   8.500000E+00   1.060000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   6.194545E+01   6.981243E+01   1.584000E+02   6.438000E+00   7.300000E-01   1.050000E+02   1.620000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   6.210057E+01  -4.789704E+01   8.910000E+01   7.950000E+00   4.200000E-01   7.800000E+01   1.100000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   6.301806E+01  -3.287421E+01   1.436000E+02   7.151000E+00   3.000000E-01   3.500000E+01   1.360000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   6.309446E+01   5.546980E+00   2.990000E+01   1.040500E+01   4.600000E-01  -7.400000E+01   5.906000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   6.318019E+01  -5.773796E+01   9.430000E+01   7.801000E+00   5.500000E-01  -8.450000E+01   1.340000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   6.341961E+01  -3.164541E+01   6.730000E+01   8.080000E+00   5.700000E-01  -8.150000E+01   1.520000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   6.365226E+01  -5.606081E+01   7.060000E+01   8.470000E+00   5.300000E-01  -3.300000E+01   1.340000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   6.393843E+01  -5.559236E+01   9.090000E+01   7.142000E+00   9.000000E-01  -5.000000E+01   1.340000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   6.404361E+01  -5.578014E+01   1.164000E+02   6.578000E+00   7.200000E-01  -3.000000E+01   1.340000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   6.500175E+01  -5.493781E+01   1.133000E+02   7.336000E+00   9.500000E-01  -1.000000E+01   1.340000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   6.530680E+01  -2.184613E+01   4.350000E+01   1.072100E+01   5.400000E-01  -6.050000E+01   1.010000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   6.549509E+01  -5.697475E+01   8.500000E+01   7.504000E+00   8.900000E-01   4.500000E+01   1.340000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   6.586292E+01   7.529557E+01   7.390000E+01   8.745000E+00   4.000000E-01  -5.000000E+01   3.660000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   6.770494E+01   6.484792E+01   8.360000E+01   8.305000E+00   4.600000E-01  -6.250000E+01   1.600000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   6.791473E+01  -5.460227E+01   1.157000E+02   7.406000E+00   4.700000E-01  -7.300000E+01   1.340000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   6.820453E+01   7.188311E+01   1.008000E+02   9.570000E+00   3.470000E-01   1.050000E+01   3.000000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   6.909293E+01  -1.037630E+01   1.810000E+01   1.116900E+01   5.800000E-01  -2.500000E+00   1.440000E+02   0.000000000000E+00           NULL           NULL           NULL           NULL
   7.036762E+01  -2.858040E+00   7.660000E+01   8.434000E+00   7.800000E-01   3.250000E+01   8.900000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   7.142730E+01  -5.924741E+01   1.139000E+02   7.529000E+00   6.300000E-01  -8.500000E+01   1.450000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   7.157073E+01   7.641890E+01   4.680000E+01   1.132800E+01   2.200000E-01   7.250000E+01   1.790000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   7.162399E+01   1.846091E+01   3.620000E+01   9.697000E+00   6.600000E-01  -3.000000E+01   6.150000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   7.355625E+01  -5.336106E+01   2.240000E+01   1.102100E+01   8.400000E-01   7.750000E+01   6.000000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   7.448602E+01  -1.257800E-01   6.650000E+01   9.456000E+00   1.800000E-01   5.700000E+01   6.120000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   7.499084E+01  -2.602221E+01   6.620000E+01   1.051500E+01   3.000000E-01  -3.000000E+00   7.800000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   7.552087E+01  -6.956828E+01   7.650000E+01   9.994000E+00   4.400000E-01  -2.700000E+01   1.470000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   7.631023E+01  -3.798075E+01   1.156000E+02   7.370000E+00   4.800000E-01  -4.050000E+01   1.360000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   7.692643E+01  -3.751305E+01   1.311000E+02   7.056000E+00   4.200000E-01  -3.700000E+01   1.080000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   7.916167E+01  -3.710252E+01   5.900000E+01   9.798000E+00   2.400000E-01   7.600000E+01   1.540000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   8.169839E+01  -6.376002E+01   7.090000E+01   7.879000E+00   9.900000E-01   8.900000E+01   1.210000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
