---,0.001,0.001,0.001,deg,deg,0.001,km/s,km/s,mag,mag,mag,mag,0.001,0.001,mag,mag,0.001,mag,0.001,mag,0.001,km/s,km/s,0.001,0.001,mag,mag,0.001,mag,mag,0.001,deg,deg,mag,km/s,km/s,km/s,km/s,mag,mag,0.001,mag,mag,0.001,0.001,mag,mag,0.001,mag,mag
"The Catalogue of Principal Galaxies (PGC) Number","Internal group ID; running tabulation of Nearby Galaxy Catalog groups","Group/cloud ID following Nearby Galaxies Catalog","Common name","Galactic longitude","Galactic latitude","Morphological type code","Heliocentric velocity","Galactocentric velocity, defined in RC3","Distance modulus assumed; given by Numerical Action model","Distance modulus measured for specific galaxy by a quality method","Differential Galactic reddening E(B-V); Schlegel, Finkbinder, Davis","Galactic absorption in B band","ratio minor to major axis from CCD image, B prefered","No. sources contributing to measure of axial ratio","Total B magnitude, Pierce/Tully source, uncorrected for obscuration","Total R magnitude, average of sources, uncorrected for obscuration","No. sources of R photometry","Total I magnitude, average of sources, uncorrected for obscuration","No. sources of I photometry","Aperture H magnitude H_{-0.5}, average of sources, uncorrected for obscuration","No. sources of H photometry","Heliocentric velocity from HI observation","HI profile linewidth at 20% of peak intensity","m=morphology quality code (1-3 good)","l=HI profile quality code (1-3 good)","Distance modulus from HI luminosity-linewidth correlation","RMS variance in measured Mod_HI","Summed weight: R=I: wt=1; B=H: wt=0.5","Distance modulus: Karachentsev Flat Galaxy: 2MASS K-linewidth correlation","B mag corrected for reddening","Reduced luminosity = logL-dmin/2.5 corrected by selection function for lost luminosity","Galactic longitude (global group parameter)","Galactic latitude (global group parameter)","Group reduced luminosity","Group heliocentric velocity","Group Galactocentric velocity: GSR frame in RC3","Group velocity in Local Sheet reference frame (2008, ApJ,676, 184)","Group velocity in Cosmic Microwave Background reference frame","Group distance modulus: average of all measures","Error in group distance modulus","No. luminosity-linewidth estimates for group","Group luminosity-linewidth modulus","Error in group luminosity-linewidth modulus","Weight assigned to group luminosity-linewidth distance estimate","No. distance estimates from Karachentsev 2MASS/Flat Galaxies sample","Group modulus from Karachentsev 2MASS/Flat Galaxies luminosity-linewidth sample","Error in Karachensev 2MASS/Flat Galaxies modulus","No. other good estimates of group modulus","Group modulus from other good measures","Error in group modulus from other good measures"
48139,240,"14-15 15","N 5237",311.88,19.22,-1,369,214,27.70,27.61,0.096,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.84,-2.95,309.81,21.46,-0.40,535,377,290,796,27.83,0.10,1,27.75,0.37,1.3,1,28.25,0.41,24,27.80,0.10
48171,47,"11-18 18","N 5247",318.34,43.58,4,1360,1258,31.46,0.00,0.089,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,10.79,-2.07,317.06,43.76,-1.79,1426,1321,1250,1724,31.67,0.41,0,0.00,0.00,0.0,1,31.67,0.41,0,0.00,0.00
48175,479,"23  0  0",1335-39,312.58,22.15,6,2535,2385,32.62,0.00,0.074,0.06,0.53,1,0.001,0.001,0.001,12.46,1,0.001,0.001,2386,254,1,3,32.69,0.00,1.0,0.001,12.99,-2.75,312.58,22.15,-2.75,2535,2385,2299,2791,32.69,0.41,1,32.69,0.41,1.0,0,0.00,0.00,0,0.00,0.00
48179,46,"11  0 10",1335-09,321.56,51.37,9,1300,1220,30.31,0.00,0.049,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.65,-2.82,321.56,51.37,-2.82,1300,1220,1158,1599,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
48259,747,"42  0  3","U 8639",105.84,64.09,10,1708,1811,32.21,0.00,0.009,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.40,-3.41,105.84,64.09,-2.90,1708,1811,1837,1857,32.27,0.41,0,0.00,0.00,0.0,1,32.27,0.41,0,0.00,0.00
48280,212,"14  0  7","U 8638",23.28,78.98,10,274,300,28.06,28.06,0.013,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15.00,-3.81,138.92,75.96,-1.00,267,309,314,500,28.35,0.11,3,28.53,0.23,3.6,1,29.13,0.41,16,28.28,0.11
48307,66,"11-28 28","N 5254",321.32,49.66,5,2315,2231,32.38,0.00,0.075,0.16,0.42,2,0.001,0.001,0.001,10.98,2,0.001,0.001,2234,360,1,3,32.21,0.00,1.0,0.001,12.80,-2.74,320.95,49.60,-2.55,2371,2286,2222,2669,32.21,0.41,1,32.21,0.41,1.0,0,0.00,0.00,0,0.00,0.00
48332,213,"14  8  7","U 8651",89.72,73.10,10,200,274,28.32,27.40,0.006,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.80,-3.32,79.79,71.25,-5.00,191,272,283,375,27.39,0.14,0,0.00,0.00,0.0,0,0.00,0.00,4,27.39,0.14
48334,240,"14-15 15","N 5253",314.86,30.09,10,417,284,27.70,27.72,0.055,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,10.87,-2.16,309.81,21.46,-0.40,535,377,290,796,27.83,0.10,1,27.75,0.37,1.3,1,28.25,0.41,24,27.80,0.10
48368,240,"14-15 15",1337-28,315.66,32.77,10,589,462,27.70,27.56,0.054,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.62,-3.66,309.81,21.46,-0.40,535,377,290,796,27.83,0.10,1,27.75,0.37,1.3,1,28.25,0.41,24,27.80,0.10
48390,448,"23 -3  3",1337-48,311.31,13.74,6,2847,2685,32.90,0.00,0.101,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.15,-2.33,312.12,13.37,-1.61,3036,2876,2788,3260,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
48392,748,"42  0  3","U 8658",107.93,61.34,4,2035,2146,32.21,0.00,0.016,0.001,0.53,1,0.001,0.001,0.001,12.28,1,0.001,0.001,2135,251,1,3,32.57,0.00,1.0,0.001,13.18,-2.93,107.93,61.34,-2.93,2035,2146,2177,2170,32.57,0.41,1,32.57,0.41,1.0,0,0.00,0.00,0,0.00,0.00
48425,787,"42  0  0","N 5283",115.82,48.76,-2,2697,2837,32.97,0.00,0.020,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.10,-3.08,115.82,48.76,-3.08,2697,2837,2886,2766,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
48467,231,"14-15 15","N 5264",315.72,31.70,10,478,349,29.20,28.37,0.050,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.42,-2.78,314.58,31.97,-1.02,516,385,305,796,28.50,0.12,0,0.00,0.00,0.0,0,0.00,0.00,12,28.50,0.12
48501,804,"43  0  1",1339+30,52.93,78.43,10,1065,1110,31.46,0.00,0.020,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,16.38,-4.31,52.93,78.43,-5.00,1065,1110,1105,1294,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
48515,240,"14-15 15","K 211",312.21,16.75,-5,0.001,0,27.70,27.80,0.111,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15.84,-4.15,309.81,21.46,-0.40,535,377,290,796,27.83,0.10,1,27.75,0.37,1.3,1,28.25,0.41,24,27.80,0.10
48521,800,"43  1  1","N 5273",74.39,76.24,-2,1021,1082,31.09,31.09,0.010,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.43,-2.76,74.39,76.24,-2.76,1021,1082,1085,1232,31.09,0.14,0,0.00,0.00,0.0,0,0.00,0.00,1,31.09,0.14
48534,742,"42 -8  3",UGC08684,112.07,55.27,6,2196,2322,32.38,0.001,0.018,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,32.07,13.77,-3.13,110.55,55.42,-1.67,1947,2074,2114,2049,32.37,0.14,1,33.34,0.41,1.0,3,31.95,0.25,1,32.47,0.17
48557,210,"14 -5  5","U 8683",85.90,73.57,10,663,735,29.74,0.00,0.009,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.30,-3.53,105.41,70.67,-1.00,482,562,578,667,29.48,0.15,2,29.74,0.27,2.6,0,0.00,0.00,1,29.42,0.16
48593,448,"23 -3  3","N 5266",311.74,13.80,-3,3082,2921,32.90,0.00,0.089,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.76,-2.18,312.12,13.37,-1.61,3036,2876,2788,3260,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
48738,240,"14-15 15",1342-41,313.50,19.90,10,543,393,27.70,27.65,0.088,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.56,-2.84,309.81,21.46,-0.40,535,377,290,796,27.83,0.10,1,27.75,0.37,1.3,1,28.25,0.41,24,27.80,0.10
48749,725,"42 -1  1","N 5289",88.91,71.89,2,2522,2601,32.84,0.00,0.009,0.00,0.31,1,0.001,0.001,0.001,11.66,1,10.35,1,2590,393,3,3,32.98,0.10,1.5,32.95,13.04,-2.71,85.78,71.16,-1.24,2418,2500,2512,2601,32.45,0.13,9,32.40,0.16,9.8,3,32.58,0.25,0,0.00,0.00
48767,725,"42 -1  1","N 5290",89.32,71.72,4,2579,2658,32.84,0.00,0.007,0.00,0.18,1,0.001,0.001,0.001,10.73,1,9.26,1,2657,479,3,3,32.42,0.01,1.5,32.73,11.90,-2.26,85.78,71.16,-1.24,2418,2500,2512,2601,32.45,0.13,9,32.40,0.16,9.8,3,32.58,0.25,0,0.00,0.00
48811,725,"42 -1  1","N 5296",93.01,69.95,-1,2281,2367,32.84,0.00,0.014,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.70,-3.38,85.78,71.16,-1.24,2418,2500,2512,2601,32.45,0.13,9,32.40,0.16,9.8,3,32.58,0.25,0,0.00,0.00
48815,725,"42 -1  1","N 5297",93.00,69.93,4,2404,2490,32.84,0.00,0.014,0.001,0.28,1,12.54,11.40,1,10.88,1,0.001,0.001,2489,422,3,3,32.31,0.16,2.5,32.06,11.50,-2.10,85.78,71.16,-1.24,2418,2500,2512,2601,32.45,0.13,9,32.40,0.16,9.8,3,32.58,0.25,0,0.00,0.00
48816,807,"43  0  0","N 5301",96.67,68.12,4,1562,1654,32.12,0.00,0.017,0.001,0.29,2,0.001,0.001,0.001,10.93,2,0.001,0.001,1595,334,3,2,31.68,0.00,1.0,31.37,11.90,-2.43,96.67,68.12,-2.43,1562,1654,1673,1729,31.53,0.29,1,31.68,0.41,1.0,1,31.37,0.41,0,0.00,0.00
48832,742,"42 -8  3","U 8716",110.97,55.45,3,2063,2190,32.38,0.00,0.016,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.66,-3.48,110.55,55.42,-1.67,1947,2074,2114,2049,32.37,0.14,1,33.34,0.41,1.0,3,31.95,0.25,1,32.47,0.17
48860,742,"42 -8  3","N 5308",111.23,54.88,-3,1972,2100,32.38,0.00,0.018,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,31.97,12.19,-2.49,110.55,55.42,-1.67,1947,2074,2114,2049,32.37,0.14,1,33.34,0.41,1.0,3,31.95,0.25,1,32.47,0.17
48917,802,"43  2  1",N5303A,79.92,73.75,10,1396,1467,31.82,0.00,0.014,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.15,-2.98,79.92,73.75,-2.98,1396,1467,1474,1593,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
48925,725,"42 -1  1","U 8726",85.45,72.28,7,2333,2410,32.84,0.00,0.008,0.001,0.18,1,0.001,0.001,0.001,13.54,1,0.001,0.001,2410,203,8,3,32.33,0.00,1.0,0.001,13.99,-3.09,85.78,71.16,-1.24,2418,2500,2512,2601,32.45,0.13,9,32.40,0.16,9.8,3,32.58,0.25,0,0.00,0.00
48953,745,"42  8  3",1346+682,115.04,48.16,4,1759,1902,32.38,0.00,0.019,0.001,0.16,1,0.001,0.001,0.001,12.11,1,0.001,0.001,1924,380,8,3,32.98,0.00,1.0,33.20,13.93,-3.19,112.45,50.65,-2.77,1766,1905,1952,1842,33.09,0.29,1,32.98,0.41,1.0,1,33.20,0.41,0,0.00,0.00
48959,692,"41 -7  7","N 5300",335.73,63.15,5,1179,1146,31.03,0.00,0.023,0.01,0.67,1,0.001,0.001,0.001,10.84,1,10.39,1,1139,232,1,2,31.44,0.20,1.5,0.001,12.30,-2.70,340.14,63.16,-1.70,1261,1235,1194,1534,30.91,0.13,3,31.28,0.24,3.2,3,31.46,0.25,1,30.54,0.16
48989,725,"42 -1  1","U 8733",91.24,70.04,6,2345,2431,32.84,0.00,0.018,0.001,0.51,2,0.001,0.001,0.001,12.82,2,0.001,0.001,2423,211,1,3,32.38,0.00,1.0,0.001,13.40,-2.86,85.78,71.16,-1.24,2418,2500,2512,2601,32.45,0.13,9,32.40,0.16,9.8,3,32.58,0.25,0,0.00,0.00
49034,448,"23 -3  3",1346-48,312.66,13.15,8,2930,2771,32.90,0.00,0.127,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.48,-2.86,312.12,13.37,-1.61,3036,2876,2788,3260,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
49044,742,"42 -8  3","N 5322",110.27,55.50,-5,1902,2029,32.38,32.47,0.014,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,10.84,-1.95,110.55,55.42,-1.67,1947,2074,2114,2049,32.37,0.14,1,33.34,0.41,1.0,3,31.95,0.25,1,32.47,0.17
49050,240,"14-15 15",1346-35,315.81,25.36,8,330,193,27.70,27.69,0.072,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.51,-2.42,309.81,21.46,-0.40,535,377,290,796,27.83,0.10,1,27.75,0.37,1.3,1,28.25,0.41,24,27.80,0.10
49062,725,"42 -1  1","U 8742",80.74,73.10,10,2266,2340,32.84,0.00,0.026,0.001,0.57,1,0.001,15.81,1,0.001,0.001,0.001,0.001,2338,109,6,3,32.25,0.00,1.0,0.001,13.85,-3.04,85.78,71.16,-1.24,2418,2500,2512,2601,32.45,0.13,9,32.40,0.16,9.8,3,32.58,0.25,0,0.00,0.00
49069,725,"42 -1  1","N 5313",83.41,72.36,3,2606,2683,32.84,0.00,0.008,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.40,-2.46,85.78,71.16,-1.24,2418,2500,2512,2601,32.45,0.13,9,32.40,0.16,9.8,3,32.58,0.25,0,0.00,0.00
49071,448,"23 -3  3",1346-483,312.74,13.01,5,3045,2886,32.90,0.00,0.127,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.41,-2.84,312.12,13.37,-1.61,3036,2876,2788,3260,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
49092,742,"42 -8  3",1348+62,111.80,53.11,10,2132,2265,32.38,0.00,0.023,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.66,-3.48,110.55,55.42,-1.67,1947,2074,2114,2049,32.37,0.14,1,33.34,0.41,1.0,3,31.95,0.25,1,32.47,0.17
49112,725,"42 -1  1","N 5320",86.38,71.33,5,2613,2694,32.84,0.00,0.007,0.00,0.48,1,0.001,12.00,1,0.001,0.001,10.30,1,2695,311,1,2,32.08,0.10,1.5,0.001,12.40,-2.46,85.78,71.16,-1.24,2418,2500,2512,2601,32.45,0.13,9,32.40,0.16,9.8,3,32.58,0.25,0,0.00,0.00
49119,448,"23 -3  3",1347-480,312.97,13.44,0.001,3190,3032,32.90,0.00,0.138,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.84,-2.61,312.12,13.37,-1.61,3036,2876,2788,3260,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
49129,317,"16 -5  5",E383-91,315.77,24.10,7,1078,939,31.33,0.00,0.075,0.001,0.18,2,0.001,0.001,0.001,13.01,2,0.001,0.001,939,152,8,3,30.74,0.00,1.0,0.001,12.69,-2.85,317.54,27.46,-2.02,1348,1218,1137,1606,30.37,0.25,3,30.37,0.25,3.0,0,0.00,0.00,0,0.00,0.00
49157,725,"42 -1  1","N 5326",81.92,72.48,1,2564,2640,32.84,0.00,0.016,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.60,-2.54,85.78,71.16,-1.24,2418,2500,2512,2601,32.45,0.13,9,32.40,0.16,9.8,3,32.58,0.25,0,0.00,0.00
49158,213,"14  8  7","U 8760",77.78,73.45,10,189,261,28.32,27.51,0.017,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.71,-3.29,79.79,71.25,-5.00,191,272,283,375,27.39,0.14,0,0.00,0.00,0.0,0,0.00,0.00,4,27.39,0.14
49164,448,"23 -3  3",1347-484,312.86,12.67,0.001,3099,2941,32.90,0.00,0.157,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.37,-2.42,312.12,13.37,-1.61,3036,2876,2788,3260,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
49187,317,"16 -5  5",1348-33,316.92,27.43,8,1388,1256,31.33,0.00,0.064,0.001,0.62,2,0.001,0.001,0.001,12.55,2,0.001,0.001,1257,134,6,3,30.73,0.00,1.0,0.001,11.09,-2.21,317.54,27.46,-2.02,1348,1218,1137,1606,30.37,0.25,3,30.37,0.25,3.0,0,0.00,0.00,0,0.00,0.00
49191,725,"42 -1  1",1349+40,83.27,71.96,0,2370,2448,32.84,0.00,0.011,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15.00,-3.50,85.78,71.16,-1.24,2418,2500,2512,2601,32.45,0.13,9,32.40,0.16,9.8,3,32.58,0.25,0,0.00,0.00
49198,448,"23 -3  3",1348-475,313.19,13.59,9,2950,2793,32.90,0.00,0.144,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.80,-2.59,312.12,13.37,-1.61,3036,2876,2788,3260,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
49221,744,"42  8  3",1350+64,112.49,51.52,5,1656,1793,32.38,0.00,0.020,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,15.20,-3.70,112.49,51.52,-3.70,1656,1793,1838,1738,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
49236,716,"41  0  0","N 5324",328.98,53.73,5,3045,2984,32.55,0.00,0.029,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.20,-2.46,328.98,53.73,-2.46,3045,2984,2928,3330,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
49242,449,"23 -4  3",1348-475,313.27,13.48,5,2854,2697,32.77,0.00,0.132,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.48,-2.50,313.75,13.21,-2.16,2817,2661,2574,3035,32.39,0.29,1,32.67,0.41,1.0,1,32.12,0.41,0,0.00,0.00
49299,725,"42 -1  1","U 8798",90.39,69.23,8,2282,2371,32.84,0.00,0.010,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.99,-3.09,85.78,71.16,-1.24,2418,2500,2512,2601,32.45,0.13,9,32.40,0.16,9.8,3,32.58,0.25,0,0.00,0.00
49308,717,"41  0  0","N 5334",333.06,58.10,5,1383,1338,31.33,0.00,0.046,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.30,-2.70,333.06,58.10,-2.70,1383,1338,1288,1665,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
49322,725,"42 -1  1","N 5346",81.05,72.15,6,2507,2584,32.84,0.00,0.015,0.00,0.47,2,0.001,13.42,1,12.68,1,0.001,0.001,2589,243,1,3,32.82,0.21,2.0,0.001,14.17,-3.16,85.78,71.16,-1.24,2418,2500,2512,2601,32.45,0.13,9,32.40,0.16,9.8,3,32.58,0.25,0,0.00,0.00
49342,729,"42  0  1","N 5347",62.17,75.23,2,2296,2356,32.97,0.00,0.021,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.34,-2.78,62.17,75.23,-2.78,2296,2356,2356,2505,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
49347,725,"42 -1  1","N 5350",82.79,71.59,3,2316,2396,32.84,0.00,0.011,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.13,-2.35,85.78,71.16,-1.24,2418,2500,2512,2601,32.45,0.13,9,32.40,0.16,9.8,3,32.58,0.25,0,0.00,0.00
49353,692,"41 -7  7","N 5338",339.65,63.57,-2,794,768,31.03,30.54,0.028,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.92,-3.35,340.14,63.16,-1.70,1261,1235,1194,1534,30.91,0.13,3,31.28,0.24,3.2,3,31.46,0.25,1,30.54,0.16
49356,725,"42 -1  1","N 5353",82.59,71.62,-2,2022,2102,32.84,0.00,0.013,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.05,-2.32,85.78,71.16,-1.24,2418,2500,2512,2601,32.45,0.13,9,32.40,0.16,9.8,3,32.58,0.25,0,0.00,0.00
49388,704,"41-12 12",N5339,328.52,51.81,1,2712,2647,32.12,0.00,0.037,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,16.39,-4.23,333.21,52.52,-2.24,2493,2440,2386,2766,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
49411,692,"41 -7  7","N 5348",340.05,63.49,4,1457,1432,31.03,0.00,0.029,0.03,0.20,1,0.001,0.001,0.001,12.26,1,11.54,1,1424,201,3,2,30.97,0.09,1.5,30.87,13.20,-3.06,340.14,63.16,-1.70,1261,1235,1194,1534,30.91,0.13,3,31.28,0.24,3.2,3,31.46,0.25,1,30.54,0.16
49424,449,"23 -4  3","N 5333",313.57,13.05,-2,2750,2594,32.77,0.00,0.128,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.48,-2.90,313.75,13.21,-2.16,2817,2661,2574,3035,32.39,0.29,1,32.67,0.41,1.0,1,32.12,0.41,0,0.00,0.00
49426,765,"42 13 13","N 5452",118.87,38.41,7,2066,2226,32.21,0.00,0.027,0.001,0.68,1,0.001,0.001,0.001,12.85,1,0.001,0.001,2226,190,4,3,32.60,0.00,1.0,0.001,13.20,-2.93,118.48,37.98,-2.80,2064,2226,2289,2074,32.60,0.41,1,32.60,0.41,1.0,0,0.00,0.00,0,0.00,0.00
49448,216,"14 -9  9","U 8837",103.71,60.80,10,141,256,28.89,0.00,0.015,0.00,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.13,-3.06,102.38,59.56,-1.02,234,354,387,354,28.75,0.16,1,29.66,0.36,1.3,0,0.00,0.00,2,28.60,0.17
49451,738,"42 -6  3",N5372,108.00,56.59,3,1711,1837,32.38,0.00,0.010,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.01,-3.22,103.00,58.84,-2.05,1929,2051,2085,2045,32.14,0.16,1,32.44,0.41,1.0,1,32.32,0.41,1,32.07,0.17
49452,213,"14  8  7","U 8833",69.69,73.94,10,225,293,28.32,27.47,0.011,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.48,-3.60,79.79,71.25,-5.00,191,272,283,375,27.39,0.14,0,0.00,0.00,0.0,0,0.00,0.00,4,27.39,0.14
49464,725,"42 -1  1","N 5362",84.45,70.74,3,2263,2346,32.84,0.00,0.006,0.001,0.35,1,0.001,0.001,0.001,11.77,1,0.001,0.001,2257,272,1,3,31.92,0.00,1.0,0.001,12.70,-2.58,85.78,71.16,-1.24,2418,2500,2512,2601,32.45,0.13,9,32.40,0.16,9.8,3,32.58,0.25,0,0.00,0.00
49468,692,"41 -7  7","N 5356",340.53,63.47,4,1375,1350,31.03,0.00,0.025,0.001,0.23,1,0.001,0.001,0.001,11.30,1,0.001,0.001,1350,294,8,3,31.45,0.00,1.0,31.91,12.32,-2.71,340.14,63.16,-1.70,1261,1235,1194,1534,30.91,0.13,3,31.28,0.24,3.2,3,31.46,0.25,1,30.54,0.16
