"The Catalogue of Principal Galaxies (PGC) Number","Revised Flat Galaxy Catalogue #, Bull. Spec. Astrophys. Obs. 47,5,1999","Original Flat Galaxy Catalog number","PGC number used by Karachentsev et al. astro-ph/0305566","Galactic longitude","Galactic latitude","Position angle; north thru east","Major blue diameter in arcmin on POSS-I system; conv. from ESO/SERC aj: ao=0.8078aj","Minor blue diameter in arcmin on POSS-I system; conv. from ESO/SERC bj: bo=0.7827bj","Major red diameter in arcmin on POSS-I system; conv. from ESO/SERC ar: ae=0.8640ar","Minor red diameter in arcmin on POSS-I system; conv. from ESO/SERC br: be=0.9730br","Total blue magnitude calculated by formula in ref; depends on size, type, surface br, and color index","Galactic extinction in B band","Morphological type in RC3 system","Index of asymmetry: 0=little to 2=pronounced","Index of surface brightness: I=high to IV=very low","Number of neighbors with size from ao/2 to 2ao within R=10ao","Notes describe morph peculiarities or galaxy environment","Right Ascention (J2000)","Declination (J2000)"
92507,3351,1299E,0.001,336.70,-18.32,31,0.73,0.09,0.75,0.11,16.9,0.46,c,0,II,0,"Dust. Knots",18.282000000000000,-57.743888888900000
92508,3374,1306E,0.001,336.61,-20.56,154,0.60,0.08,0.60,0.09,17.3,0.36,c,0,III,0,0.001,18.543305555600000,-58.606944444400000
92509,3375,1308E,0.001,333.03,-21.70,95,0.80,0.08,0.67,0.09,17.2,0.73,c,0,III,0,"Peculiar star projected",18.550694444400000,-62.131944444400000
92510,3373,1309E,0.001,342.21,-18.67,157,0.73,0.06,0.58,0.11,17.5,0.30,c,0,III,1,0.001,18.543194444400000,-53.001388888900000
92511,0.001,1310E,0.001,342.85,-18.55,101,0.57,0.07,0.48,0.06,17.4,0.32,c,0,II,1,0.001,18.553694444400000,-52.390277777800000
92512,3384,1313E,0.001,341.55,-19.61,76,0.80,0.09,0.87,0.09,16.9,0.30,cd,0,III,3,0.001,18.617611111100000,-53.902500000000000
92513,3389,1316E,0.001,352.76,-15.86,150,0.89,0.10,0.95,0.15,16.6,0.30,c,0,II,1,"Curved ends. Interacting?",18.650888888900000,-42.601388888900000
92514,3395,1318E,0.001,337.30,-21.62,48,0.81,0.07,0.64,0.08,17.3,0.40,c,0,III,1,0.001,18.697111111100000,-58.315277777800000
92515,3409,1319E,0.001,311.33,-26.79,42,0.98,0.09,0.75,0.19,16.9,0.78,c,0,III,0,"Compan. at 1.6 SE",18.811305555600000,-82.511944444400000
92516,3403,1321E,0.001,337.57,-21.97,176,0.75,0.07,0.67,0.08,17.3,0.36,c,0,III,1,"Star proj.In distant cluster",18.749305555600000,-58.176944444400000
92517,3402,1322E,0.001,344.36,-19.91,106,0.66,0.06,0.67,0.11,17.5,0.28,c,0,III,0,0.001,18.744888888900000,-51.507777777800000
92518,3410,1326E,0.001,347.92,-19.76,157,0.68,0.07,0.70,0.08,17.1,0.24,d,0,II,1,0.001,18.842000000000000,-48.295000000000000
92519,3412,1327E,0.001,348.15,-19.90,114,1.01,0.09,0.58,0.11,17.1,0.22,d,0,III,0,0.001,18.862305555600000,-48.128611111100000
92520,0.001,1332E,0.001,316.60,-26.79,28,0.55,0.07,0.59,0.09,17.4,0.67,d,0,III,1,0.001,18.958611111100000,-77.816666666700000
92521,3425,1337E,0.001,343.25,-22.70,28,0.74,0.09,0.66,0.09,17.0,0.30,d,0,III,0,"Faint diffuse ends",19.002611111100000,-53.316944444400000
92522,0.001,1339E,0.001,326.17,-26.22,47,0.54,0.07,0.58,0.09,17.4,0.20,c,0,III,0,0.001,19.044000000000000,-69.246111111100000
92523,0.001,1341E,0.001,347.02,-22.05,33,0.57,0.06,0.56,0.08,17.5,0.23,d,0,III,0,0.001,19.037888888900000,-49.787777777800000
92524,3433,1343E,0.001,325.64,-26.51,6,0.65,0.08,0.67,0.09,17.1,0.21,c,0,II,0,"Star projected",19.088000000000000,-69.753055555600000
92525,3432,1344E,0.001,335.61,-25.05,120,0.99,0.10,0.98,0.13,16.5,0.26,cd,0,II,0,0.001,19.084111111100000,-60.663333333300000
92526,3431,1345E,0.001,358.72,-18.80,108,1.16,0.08,1.43,0.08,16.5,0.60,c,0,II,0,0.001,19.072305555600000,-38.363888888900000
92527,3435,1347E,0.001,5.53,-16.74,89,0.60,0.07,0.58,0.09,17.3,0.40,c,0,II,0,0.001,19.106000000000000,-31.568888888900000
92528,3441,1349E,0.001,338.45,-24.87,92,0.74,0.09,0.80,0.12,17.0,0.26,c,1,III,2,"Galaxy 0.4 at 0.8 N",19.129305555600000,-58.103055555600000
92529,3440,1351E,0.001,8.71,-15.74,54,0.83,0.09,0.91,0.11,16.7,0.74,bc,0,II,1,0.001,19.123694444400000,-28.369722222200000
92530,0.001,1353E,0.001,334.66,-26.06,151,0.54,0.06,0.56,0.09,17.6,0.24,c,0,III,0,"Star or knot near centre",19.200000000000000,-61.683888888900000
92531,3444,1355E,0.001,19.63,-12.14,66,1.45,0.13,1.06,0.11,16.2,0.60,c,0,II,1,"In group of 3 galaxies",19.196250000000000,-17.221388888900000
92533,0.001,1365E,0.001,346.00,-24.80,163,0.58,0.06,0.61,0.08,17.5,0.33,c,0,III,2,"Neighbour at 0.6 NW",19.292694444400000,-51.398055555600000
92534,0.001,1366E,0.001,12.81,-16.40,14,0.57,0.08,0.67,0.11,17.1,0.58,c,1,II,0,0.001,19.282888888900000,-24.986388888900000
92535,3461,1367E,0.001,350.62,-23.84,32,0.74,0.09,0.69,0.11,16.9,0.28,cd,0,II,0,0.001,19.301111111100000,-47.081666666700000
92536,3466,1369E,0.001,334.82,-27.14,39,0.65,0.09,0.73,0.10,17.0,0.24,d,0,III,1,"Star projected",19.354194444400000,-61.701111111100000
92537,3472,1372E,0.001,335.21,-27.52,169,0.74,0.06,0.73,0.09,17.2,0.30,c,0,II,1,0.001,19.413111111100000,-61.406111111100000
92538,3473,1373E,0.001,329.10,-28.10,43,0.63,0.09,0.73,0.12,16.9,0.40,d,0,II,0,0.001,19.423694444400000,-66.833888888900000
92539,3498,1376E,0.001,307.89,-27.99,131,0.73,0.09,0.67,0.11,16.9,0.73,cd,1,II,0,0.001,19.671805555600000,-85.524722222200000
92540,3485,1379E,0.001,324.54,-28.95,123,0.69,0.09,0.78,0.09,17.0,0.39,c,0,III,1,"In cluster",19.559305555600000,-70.872222222200000
92541,3482,1380E,0.001,7.07,-21.98,94,0.99,0.13,0.81,0.12,16.4,0.37,c,0,II,0,"Star projected near nucleus",19.530694444400000,-32.050000000000000
92542,3488,1384E,0.001,8.88,-22.20,102,0.90,0.07,1.05,0.11,16.8,0.55,c,0,II,1,"Very good representative",19.590305555600000,-30.538611111100000
92543,3494,1385E,0.001,354.22,-26.71,30,0.65,0.05,0.50,0.06,17.8,0.27,d,0,III,1,"Neighbour at 1.0 NW",19.642194444400000,-44.600277777800000
92544,3500,1388E,0.001,341.58,-28.96,17,0.63,0.09,0.48,0.10,17.3,0.21,bc,0,III,7,"Neighbour at 0.7 N",19.678694444400000,-55.988888888900000
92545,3499,1389E,0.001,21.95,-18.60,46,0.65,0.09,0.67,0.11,16.9,0.51,d,0,II,1,0.001,19.672000000000000,-17.820000000000000
92546,3502,1390E,0.001,1.08,-25.64,117,0.65,0.09,0.78,0.10,16.8,0.67,cd,0,II,2,0.001,19.682694444400000,-38.371944444400000
92547,3505,1391E,0.001,328.33,-29.81,165,0.60,0.07,0.58,0.09,17.4,0.40,c,0,III,0,0.001,19.715500000000000,-67.554444444400000
92548,3503,1393E,0.001,15.86,-21.33,167,0.65,0.06,0.63,0.08,17.5,0.54,cd,0,III,4,0.001,19.697305555600000,-24.155277777800000
92549,3504,1394E,0.001,9.50,-23.71,17,0.73,0.09,0.63,0.09,16.9,0.55,d,0,II,2,"Star projected in the centre",19.715000000000000,-30.493333333300000
92550,3510,1398E,0.001,346.16,-29.28,56,0.67,0.09,0.66,0.10,17.1,0.21,c,0,III,2,0.001,19.770000000000000,-52.061944444400000
92551,3509,1401E,0.001,7.40,-25.05,65,0.65,0.07,0.67,0.08,17.2,0.92,c,0,II,1,"Slightly curved ends",19.768694444400000,-32.721944444400000
92552,3514,1403E,0.001,6.84,-25.92,109,0.76,0.07,0.63,0.08,17.2,0.75,cd,0,II,1,0.001,19.823305555600000,-33.460000000000000
92553,3521,1410E,0.001,354.92,-29.38,11,1.01,0.09,0.79,0.09,16.8,0.26,c,0,II,0,0.001,19.899111111100000,-44.527222222200000
92554,3524,1412E,0.001,20.21,-22.87,160,0.92,0.09,0.66,0.09,16.8,0.63,d,0,II,1,0.001,19.906694444400000,-20.963055555600000
92555,0.001,1414E,0.001,315.40,-29.89,35,0.57,0.08,0.61,0.11,17.3,1.52,cd,0,III,0,0.001,19.996194444400000,-78.710555555600000
92556,3526,1415E,0.001,333.17,-31.36,113,0.90,0.07,0.87,0.10,17.1,0.23,c,0,III,1,"In pair. Compan. at 1.8 NW",19.952694444400000,-63.360000000000000
92557,0.001,1417E,0.001,17.27,-24.73,12,0.57,0.07,0.47,0.09,17.6,0.45,c,0,III,1,0.001,19.963194444400000,-24.138055555600000
92558,0.001,1418E,0.001,20.83,-23.86,50,0.56,0.05,0.39,0.08,18.0,0.78,cd,0,III,2,"In cluster",19.987694444400000,-20.796388888900000
92559,3528,1419E,0.001,9.01,-27.62,125,0.67,0.09,0.78,0.10,16.9,0.80,c,0,II,0,0.001,19.995805555600000,-32.082777777800000
92560,3530,1420E,0.001,342.47,-31.72,125,0.77,0.09,0.82,0.09,16.6,0.27,c,0,I,4,0.001,20.012000000000000,-55.443888888900000
92561,3529,1421E,0.001,8.59,-27.86,20,0.95,0.09,0.82,0.10,16.8,0.62,c,0,II,1,"Star projected on S side",20.006000000000000,-32.506666666700000
92562,3535,1424E,0.001,343.26,-32.12,170,0.85,0.10,0.79,0.13,16.7,0.19,c,0,II,3,0.001,20.061305555600000,-54.791944444400000
92563,3536,1426E,0.001,341.44,-32.39,172,0.91,0.08,0.82,0.10,17.0,0.24,c,0,III,4,"Diffuse ends",20.088000000000000,-56.343888888900000
92564,3537,1427E,0.001,341.70,-32.42,12,0.63,0.07,0.58,0.08,17.4,0.22,d,0,III,5,0.001,20.091888888900000,-56.123611111100000
92565,3541,1428E,0.001,341.44,-32.48,144,0.60,0.06,0.65,0.09,17.5,0.23,c,0,III,3,"In cluster",20.098305555600000,-56.340000000000000
92566,3538,1432E,0.001,20.61,-25.50,68,0.63,0.09,0.58,0.11,17.0,0.65,d,0,II,0,0.001,20.092000000000000,-21.573055555600000
92567,3540,1433E,0.001,20.92,-25.46,65,0.73,0.07,0.78,0.09,17.1,0.64,c,0,II,0,0.001,20.096000000000000,-21.296944444400000
92568,3547,1437E,0.001,350.30,-32.85,141,0.76,0.09,0.73,0.10,16.9,0.24,bc,0,II,2,0.001,20.181305555600000,-48.918055555600000
92569,0.001,1439E,0.001,352.17,-32.91,103,0.54,0.07,0.48,0.06,17.4,0.17,c,0,II,0,0.001,20.202000000000000,-47.358888888900000
92570,3551,1441E,0.001,1.06,-31.89,19,0.60,0.07,0.48,0.09,17.4,0.23,bc,0,II,1,0.001,20.206000000000000,-39.780555555600000
92571,3552,1442E,0.001,353.20,-32.92,165,0.70,0.08,0.67,0.10,17.0,0.18,c,0,II,2,0.001,20.212000000000000,-46.501111111100000
92572,3553,1445E,0.001,25.18,-25.92,143,0.78,0.10,0.79,0.12,16.7,0.38,bc,0,II,1,0.001,20.226000000000000,-17.891944444400000
92573,3556,1446E,0.001,23.28,-26.96,62,0.60,0.05,0.54,0.08,17.7,0.38,d,0,III,3,0.001,20.249805555600000,-19.855277777800000
92574,3558,1447E,0.001,342.97,-33.91,23,0.74,0.06,0.82,0.09,17.5,0.26,c,0,IV,1,"Neighbour at 0.8 NE. In clust.",20.269305555600000,-55.070000000000000
92575,3557,1448E,0.001,24.56,-26.57,58,0.65,0.09,0.66,0.11,16.9,0.41,cd,0,II,1,0.001,20.253694444400000,-18.653055555600000
92576,3560,1449E,0.001,342.28,-34.00,163,0.65,0.06,0.58,0.09,17.5,0.24,c,0,III,2,0.001,20.280305555600000,-55.647777777800000
92578,3563,1453E,0.001,24.74,-27.07,70,0.82,0.07,0.87,0.09,16.9,0.37,cd,0,II,0,V.g.representative,20.290694444400000,-18.691944444400000
92579,3566,1455E,0.001,326.64,-33.21,137,0.69,0.09,0.73,0.10,16.9,0.17,c,0,II,0,"Diffuse ends",20.344888888900000,-68.675277777800000
92580,3568,1457E,0.001,344.94,-34.72,50,0.60,0.08,0.60,0.11,17.1,0.23,d,0,II,1,0.001,20.361000000000000,-53.442777777800000
92581,3570,1458E,0.001,334.35,-34.30,46,0.73,0.09,0.67,0.11,17.0,0.20,bc,0,II,1,0.001,20.370694444400000,-62.171944444400000
92582,0.001,1460E,0.001,328.01,-33.63,28,0.54,0.06,0.58,0.10,17.7,0.15,c,0,IV,2,0.001,20.384000000000000,-67.478055555600000
92583,3571,1461E,0.001,347.92,-34.86,51,0.63,0.09,0.67,0.09,17.0,0.17,c,0,II,2,0.001,20.378694444400000,-50.995000000000000
92584,3573,1462E,0.001,346.07,-34.96,9,0.77,0.08,0.75,0.09,17.0,0.20,bc,0,II,2,"Neighbour at 2.0 SE",20.387194444400000,-52.519722222200000
92585,3574,1463E,0.001,347.57,-34.95,21,0.65,0.09,0.71,0.11,16.9,0.16,bc,0,II,1,0.001,20.387305555600000,-51.286111111100000
92586,0.001,1466E,0.001,344.34,-35.11,92,0.51,0.05,0.54,0.06,17.8,0.22,d,0,III,0,0.001,20.405305555600000,-53.934722222200000
92587,3576,1468E,0.001,19.66,-30.29,61,0.74,0.09,0.61,0.11,17.0,0.31,c,0,II,0,0.001,20.397305555600000,-23.980000000000000
92588,3581,1469E,0.001,344.28,-35.23,113,0.65,0.08,0.58,0.09,17.3,0.22,cd,0,III,2,0.001,20.418694444400000,-53.981111111100000
92589,0.001,1471E,0.001,4.57,-33.81,152,0.53,0.07,0.58,0.10,17.5,0.20,c,0,III,0,Diffuse,20.412000000000000,-37.230000000000000
92590,0.001,1472E,0.001,334.26,-34.71,33,0.56,0.07,0.58,0.08,17.4,0.25,c,0,III,1,0.001,20.429305555600000,-62.203888888900000
92591,0.001,1473E,0.001,22.65,-29.57,140,0.54,0.07,0.54,0.09,17.3,0.24,c,0,II,3,"In cluster",20.410194444400000,-21.299166666700000
92592,3591,1475E,0.001,323.76,-33.59,44,0.73,0.07,0.75,0.09,17.2,0.22,c,0,III,0,"Knots. Star proj.near centre",20.516388888900000,-70.947500000000000
92593,0.001,1476E,0.001,0.32,-35.25,73,0.54,0.07,0.56,0.10,17.3,0.17,c,0,II,2,0.001,20.488500000000000,-40.913888888900000
92594,3583,1477E,0.001,21.57,-31.00,154,0.73,0.07,0.54,0.09,17.5,0.31,bc,0,III,5,"In group or cluster",20.484805555600000,-22.649722222200000
92595,3586,1478E,0.001,5.13,-34.81,157,0.74,0.07,0.58,0.08,17.4,0.17,c,0,III,1,"Star projected near nucleus",20.501694444400000,-36.948888888900000
92596,3589,1479E,0.001,25.56,-30.16,128,0.67,0.08,0.70,0.10,17.0,0.28,c,0,II,6,"Neighbour at W side",20.512111111100000,-19.139444444400000
92597,3588,1481E,0.001,22.32,-31.17,163,1.22,0.13,0.50,0.12,16.7,0.28,b,0,II,0,0.001,20.511305555600000,-22.105277777800000
92598,0.001,1482E,0.001,25.65,-30.25,150,0.56,0.07,0.29,0.07,17.8,0.28,cd,0,III,6,0.001,20.519611111100000,-19.096111111100000
92599,3597,1483E,0.001,356.54,-36.08,168,0.73,0.08,0.67,0.09,17.2,0.18,c,0,III,0,"Round nucleus",20.533694444400000,-44.050833333300000
92600,3604,1485E,0.001,322.28,-33.52,9,0.65,0.09,0.65,0.13,17.0,0.23,dm,1,III,1,0.001,20.569305555600000,-72.151944444400000
92602,3602,1489E,0.001,346.90,-36.59,148,0.96,0.10,1.04,0.09,16.5,0.13,cd,0,II,1,"= FGCE 1487",20.563305555600000,-51.823055555600000
92603,3609,1493E,0.001,20.15,-32.95,99,0.80,0.09,0.75,0.10,16.8,0.19,cd,0,II,0,"Companion at 1.0 NW",20.591305555600000,-24.411111111100000
92604,3623,1495E,0.001,311.36,-30.65,169,0.70,0.09,0.58,0.10,17.2,0.90,c,0,III,0,S-shaped,20.693000000000000,-81.825277777800000
92605,3615,1498E,0.001,345.05,-37.33,64,0.70,0.06,0.66,0.08,17.4,0.14,d,0,III,1,"Very good representative",20.651194444400000,-53.266111111100000
92606,0.001,1499E,0.001,0.38,-37.07,88,0.54,0.06,0.56,0.09,17.6,0.15,c,0,III,3,0.001,20.648305555600000,-41.070000000000000
92607,3655,1500E,0.001,306.48,-28.89,123,0.65,0.07,0.63,0.10,17.4,0.63,c,0,III,2,0.001,20.867888888900000,-86.403888888900000
92608,0.001,1502E,0.001,338.63,-37.00,22,0.55,0.07,0.58,0.09,17.3,0.30,c,0,II,1,0.001,20.673611111100000,-58.391666666700000
92609,3617,1504E,0.001,0.47,-37.28,76,0.74,0.09,0.70,0.11,16.9,0.14,cd,0,II,0,"In cluster",20.667694444400000,-41.015000000000000
92610,3625,1507E,0.001,345.10,-37.76,59,0.60,0.07,0.63,0.09,17.4,0.13,cd,0,III,1,0.001,20.699305555600000,-53.199722222200000
92611,3624,1509E,0.001,3.98,-37.32,100,0.70,0.09,0.78,0.09,16.8,0.18,c,0,II,5,"Neighbour at 0.9 NW",20.698694444400000,-38.251666666700000
92612,3633,1514E,0.001,26.19,-33.21,47,0.74,0.09,0.63,0.11,17.0,0.22,bc,0,II,0,0.001,20.726888888900000,-19.701111111100000
92613,0.001,1515E,0.001,17.66,-35.51,161,0.57,0.08,0.54,0.11,17.2,0.54,c,0,II,0,0.001,20.730000000000000,-27.111111111100000
92614,3634,1516E,0.001,10.60,-36.94,52,0.63,0.09,0.63,0.09,17.3,0.22,c,0,IV,1,0.001,20.737305555600000,-32.981944444400000
92615,0.001,1517E,0.001,342.74,-38.08,100,0.54,0.07,0.48,0.09,17.6,0.23,c,0,III,2,0.001,20.754694444400000,-55.026111111100000
92616,3639,1520E,0.001,357.49,-38.53,128,0.70,0.08,0.66,0.10,17.1,0.13,c,0,II,3,0.001,20.764000000000000,-43.453055555600000
92617,3640,1521E,0.001,8.69,-37.65,67,0.68,0.07,0.75,0.09,17.2,0.28,c,0,III,2,Curved,20.770888888900000,-34.600277777800000
92618,3641,1522E,0.001,348.96,-38.68,179,0.63,0.08,0.54,0.09,17.2,0.16,cd,0,II,2,"Neighbour at 1.2 W",20.778500000000000,-50.119166666700000
92619,3646,1523E,0.001,321.55,-34.49,133,0.70,0.09,0.67,0.09,16.9,0.28,c,0,II,0,0.001,20.812305555600000,-72.437777777800000
92620,3642,1524E,0.001,12.02,-37.54,32,0.61,0.08,0.63,0.10,17.1,0.25,cd,0,II,0,0.001,20.801305555600000,-31.988888888900000
92621,0.001,1529E,0.001,4.79,-38.90,128,0.57,0.08,0.48,0.10,17.4,0.22,c,0,III,3,0.001,20.837305555600000,-37.806944444400000
92622,3656,1531E,0.001,349.65,-39.62,78,0.63,0.09,0.63,0.11,17.0,0.15,bc,0,II,1,"Curved. Neighbour at 1.9 N",20.872694444400000,-49.530000000000000
92623,3654,1532E,0.001,23.79,-35.95,89,0.70,0.08,0.66,0.09,17.1,0.39,c,0,II,2,"Edge-on gal. from centre to N",20.865805555600000,-22.464166666700000
92624,3657,1533E,0.001,19.97,-37.18,118,0.74,0.09,0.61,0.10,17.0,0.29,bc,1,II,1,"Curved ends.Neighbour at 1.5SE",20.887000000000000,-25.761666666700000
92625,0.001,1534E,0.001,25.02,-36.15,98,0.57,0.07,0.58,0.09,17.3,0.40,c,0,II,1,0.001,20.902000000000000,-21.583055555600000
92626,3660,1535E,0.001,331.81,-37.81,117,0.63,0.09,0.65,0.10,17.1,0.18,bc,0,III,0,0.001,20.930694444400000,-63.541111111100000
92627,3662,1536E,0.001,350.64,-40.34,19,0.78,0.09,0.84,0.10,16.8,0.15,c,0,II,3,0.001,20.941500000000000,-48.730277777800000
92628,3663,1537E,0.001,339.77,-39.42,133,0.63,0.08,0.58,0.08,17.2,0.24,c,0,II,2,"Star projected",20.954000000000000,-57.118888888900000
92629,3666,1538E,0.001,324.34,-36.15,137,0.63,0.09,0.63,0.09,17.0,0.22,c,0,II,2,"Slightly curved ends.In clust.",20.972305555600000,-69.723611111100000
92630,3667,1539E,0.001,329.56,-37.60,25,0.63,0.09,0.58,0.09,17.0,0.15,c,0,II,2,0.001,20.976500000000000,-65.307777777800000
92631,3664,1540E,0.001,25.02,-36.96,105,0.63,0.08,0.78,0.08,17.0,0.28,c,0,II,2,0.001,20.957194444400000,-21.843055555600000
92632,3671,1542E,0.001,15.33,-39.51,148,0.74,0.09,0.63,0.08,16.9,0.43,cd,0,II,0,0.001,20.991694444400000,-29.849444444400000
92633,3673,1543E,0.001,0.05,-41.01,112,1.34,0.13,1.45,0.18,16.2,0.15,bc,0,III,2,"V.f.arms. Star proj.n.centre",20.996388888900000,-41.592222222200000
92634,3674,1544E,0.001,358.43,-41.26,15,0.70,0.09,0.69,0.09,16.7,0.15,cd,0,I,0,"Star projected",21.016000000000000,-42.817222222200000
92635,3676,1545E,0.001,335.49,-39.29,150,0.73,0.09,0.67,0.11,16.9,0.18,d,0,II,1,0.001,21.029611111100000,-60.376944444400000
92636,0.001,1548E,0.001,332.68,-38.92,65,0.54,0.07,0.61,0.09,17.3,0.15,c,1,II,3,"Curved ends",21.060500000000000,-62.574722222200000
92637,3689,1550E,0.001,323.83,-36.64,13,0.82,0.08,0.97,0.09,17.1,0.17,c,0,IV,1,"Interacting w.galaxy at 1.5 N?",21.088694444400000,-69.930000000000000
92638,3688,1551E,0.001,325.50,-37.15,0,0.73,0.08,0.67,0.09,17.0,0.18,c,0,II,1,"Star proj.In clust.Gal.at 1.2NE",21.086000000000000,-68.501944444400000
92639,3683,1552E,0.001,9.65,-41.19,136,0.61,0.07,0.48,0.10,17.3,0.29,d,0,II,0,0.001,21.063305555600000,-34.403888888900000
92640,3694,1557E,0.001,21.36,-40.03,29,0.74,0.09,0.66,0.09,16.9,0.28,c,0,II,6,0.001,21.111305555600000,-25.466111111100000
92641,3702,1559E,0.001,335.30,-40.09,42,0.63,0.09,0.58,0.08,17.0,0.21,c,0,II,2,0.001,21.138111111100000,-60.314722222200000
92642,3704,1561E,0.001,356.54,-42.62,176,0.82,0.09,0.75,0.09,16.8,0.15,c,0,II,1,"Curved. Neighbour at 0.7 E",21.141305555600000,-44.213888888900000
92643,3705,1563E,0.001,353.36,-42.57,175,0.60,0.08,0.58,0.08,17.2,0.12,bc,0,II,0,0.001,21.148000000000000,-46.556944444400000
92644,3706,1564E,0.001,18.54,-41.08,38,0.85,0.09,0.83,0.12,16.8,0.35,c,0,II,0,0.001,21.148694444400000,-27.803055555600000
92645,3708,1565E,0.001,5.30,-42.73,137,0.99,0.09,0.67,0.10,17.0,0.17,bc,0,III,3,"Contrast nucleus",21.162305555600000,-37.781666666700000
92646,3709,1566E,0.001,350.66,-42.62,122,0.63,0.08,0.58,0.09,17.1,0.15,cd,0,II,1,0.001,21.170000000000000,-48.531111111100000
92647,0.001,1567E,0.001,22.39,-40.56,53,0.57,0.08,0.59,0.09,17.3,0.23,c,0,III,0,0.001,21.164000000000000,-24.848888888900000
92648,3717,1568E,0.001,317.00,-34.71,158,0.75,0.07,0.60,0.09,17.2,0.32,d,0,II,0,"Faint ends",21.232000000000000,-75.768055555600000
92649,3710,1570E,0.001,354.39,-43.19,15,0.65,0.09,0.73,0.09,16.9,0.15,bc,0,II,0,0.001,21.202305555600000,-45.760833333300000
92650,3715,1574E,0.001,13.27,-42.70,21,1.07,0.10,1.02,0.11,16.5,0.40,c,0,II,1,"Arched. Fluffy ends",21.213305555600000,-31.954166666700000
92651,3718,1576E,0.001,25.96,-40.75,160,0.70,0.09,0.67,0.10,16.9,0.23,cd,1,II,1,"Neighbour of same PA at 2.5SW",21.232694444400000,-22.297500000000000
92652,3720,1577E,0.001,350.88,-43.38,119,0.74,0.09,0.84,0.12,16.7,0.12,d,1,II,0,0.001,21.244694444400000,-48.281111111100000
92653,3721,1579E,0.001,357.62,-43.89,154,0.75,0.08,0.87,0.13,17.0,0.16,c,0,III,2,"S-shaped. Neighbour at 1.5 E",21.256111111100000,-43.378611111100000
92654,3722,1580E,0.001,24.32,-41.50,163,0.73,0.09,0.61,0.10,17.0,0.23,c,0,II,2,0.001,21.259305555600000,-23.703055555600000
92655,3725,1581E,0.001,352.61,-43.77,133,0.63,0.07,0.63,0.08,17.2,0.14,cd,0,II,2,"In triplet of LSB galaxies",21.269305555600000,-46.991944444400000
92656,0.001,1583E,0.001,24.51,-41.63,172,0.57,0.07,0.60,0.08,17.2,0.22,cd,0,II,4,"In cluster",21.271111111100000,-23.597777777800000
92657,3728,1584E,0.001,10.63,-43.77,78,0.76,0.10,0.67,0.11,16.7,0.42,cd,1,I,4,"In cluster",21.277305555600000,-34.006944444400000
92658,3730,1587E,0.001,345.01,-43.17,67,0.68,0.07,0.60,0.08,17.2,0.11,cd,0,II,0,0.001,21.292694444400000,-52.535000000000000
92659,3732,1589E,0.001,25.92,-41.85,5,0.65,0.07,0.67,0.11,17.2,0.20,c,0,II,5,0.001,21.307805555600000,-22.654444444400000
92660,3738,1590E,0.001,347.09,-43.79,18,0.63,0.08,0.48,0.09,17.2,0.10,cd,0,II,1,"Neighbour at 1.0 NW",21.328000000000000,-50.935000000000000
92661,3737,1591E,0.001,349.27,-44.05,39,0.90,0.09,0.70,0.13,16.9,0.10,bc,0,II,1,"Slightly curved ends",21.327305555600000,-49.346111111100000
92662,3742,1594E,0.001,2.81,-45.23,11,0.60,0.07,0.58,0.09,17.4,0.17,c,0,III,5,0.001,21.370305555600000,-39.664166666700000
92663,3747,1596E,0.001,321.53,-37.53,26,0.74,0.08,0.67,0.10,17.0,0.18,c,0,II,3,0.001,21.408305555600000,-71.208611111100000
92664,3757,1598E,0.001,313.53,-33.87,62,0.63,0.07,0.67,0.09,17.2,0.66,c,0,II,0,0.001,21.460694444400000,-78.656944444400000
92665,3754,1602E,0.001,14.71,-45.40,114,0.70,0.09,0.70,0.11,16.9,0.31,c,0,II,3,0.001,21.434694444400000,-31.340000000000000
92666,0.001,1603E,0.001,343.97,-44.71,153,0.54,0.07,0.58,0.09,17.3,0.06,cd,0,II,2,0.001,21.476694444400000,-52.928055555600000
92667,3758,1604E,0.001,338.18,-43.65,95,0.60,0.07,0.48,0.09,17.5,0.19,c,0,III,0,Diffuse,21.494694444400000,-57.210000000000000
92668,3759,1605E,0.001,338.77,-43.84,30,0.74,0.09,0.67,0.12,16.9,0.25,c,0,II,2,"Neighbour at 0.6 SE",21.500000000000000,-56.746944444400000
92669,0.001,1606E,0.001,320.36,-37.63,170,0.54,0.07,0.54,0.09,17.5,0.19,c,0,III,1,"Star projected",21.523000000000000,-71.968333333300000
92670,3761,1607E,0.001,333.57,-42.54,119,0.90,0.08,0.87,0.08,17.0,0.16,c,0,III,0,"Very good representative",21.510000000000000,-60.751111111100000
92671,3766,1609E,0.001,325.80,-39.99,20,0.60,0.08,0.58,0.09,17.3,0.11,cd,0,III,0,0.001,21.525611111100000,-67.121111111100000
92672,3764,1611E,0.001,354.96,-46.61,57,0.63,0.09,0.63,0.09,17.0,0.09,b,0,II,0,"Round nucleus",21.522694444400000,-45.036111111100000
92673,3765,1612E,0.001,6.78,-46.99,102,0.68,0.09,0.78,0.09,16.8,0.27,cd,0,II,1,0.001,21.523305555600000,-36.943055555600000
92674,3773,1613E,0.001,310.45,-32.45,55,0.80,0.07,0.48,0.10,17.5,0.93,c,0,III,0,0.001,21.591805555600000,-81.580000000000000
